City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,hermanus,-34.4187,19.2345,60.39,77,52,11.45,ZA,Thu Oct 26 16:34:58 2023
143,chefchaouene,35.1688,-5.2636,65.77,89,98,5.93,MA,Thu Oct 26 16:34:59 2023
144,port alfred,-33.5906,26.891,64.18,93,92,3.0,ZA,Thu Oct 26 16:35:00 2023
145,huntsville,34.7304,-86.5861,82.78,49,40,12.66,US,Thu Oct 26 16:32:07 2023
146,wanning,18.8003,110.3967,76.73,92,91,2.24,CN,Thu Oct 26 16:35:01 2023
147,mudgee,-32.5943,149.5871,50.61,71,50,11.81,AU,Thu Oct 26 16:32:56 2023
148,cozumel,20.5083,-86.9458,87.87,68,75,8.05,MX,Thu Oct 26 16:33:17 2023
149,pangody,65.85,74.4859,11.91,92,91,10.27,RU,Thu Oct 26 16:35:04 2023
150,vuktyl,63.8567,57.3094,20.1,88,100,5.01,RU,Thu Oct 26 16:35:05 2023
151,alofi,-19.0595,-169.9187,75.09,69,40,19.57,NU,Thu Oct 26 16:35:06 2023
152,mar del plata,-38.0023,-57.5575,77.02,33,20,21.85,AR,Thu Oct 26 16:31:02 2023
153,mount gambier,-37.8333,140.7667,45.07,80,7,4.36,AU,Thu Oct 26 16:35:09 2023
154,tamanrasset,22.785,5.5228,76.91,14,0,4.61,DZ,Thu Oct 26 16:35:09 2023
155,vorgashor,67.5833,63.95,12.76,96,100,6.62,RU,Thu Oct 26 16:35:10 2023
156,san antonio de pale,-1.4014,5.6325,78.46,85,96,7.87,GQ,Thu Oct 26 16:35:11 2023
157,trairi,-3.2778,-39.2689,78.51,76,6,11.27,BR,Thu Oct 26 16:30:21 2023
158,niafunke,15.9322,-3.9906,90.28,9,100,8.63,ML,Thu Oct 26 16:35:13 2023
159,saipan,15.1355,145.701,81.3,94,40,5.75,MP,Thu Oct 26 16:35:14 2023
160,mejit,10.2753,170.8646,82.51,78,12,10.78,MH,Thu Oct 26 16:35:15 2023
161,timimoun,29.2639,0.231,79.18,19,0,2.3,DZ,Thu Oct 26 16:35:16 2023
162,otjimbingwe,-22.35,16.1333,72.59,39,3,5.44,NA,Thu Oct 26 16:35:17 2023
163,jalapa,19.5333,-96.9167,69.87,86,89,3.53,MX,Thu Oct 26 16:35:18 2023
164,arraial do cabo,-22.9661,-42.0278,73.36,88,75,6.91,BR,Thu Oct 26 16:35:19 2023
165,mzimba,-11.9,33.6,71.46,54,58,7.36,MW,Thu Oct 26 16:35:20 2023
166,laojunmiao,39.8333,97.7333,44.89,21,0,5.44,CN,Thu Oct 26 16:35:21 2023
167,kodiak,57.79,-152.4072,44.11,70,100,10.36,US,Thu Oct 26 16:35:22 2023
168,san patricio,28.017,-97.5169,85.95,81,100,10.8,US,Thu Oct 26 16:35:22 2023
169,tura,25.5198,90.2201,66.87,89,0,2.46,IN,Thu Oct 26 16:35:23 2023
170,malvan,16.0667,73.4667,77.68,57,56,9.82,IN,Thu Oct 26 16:35:24 2023
171,sitka,57.0531,-135.33,46.29,57,0,3.44,US,Thu Oct 26 16:35:25 2023
172,kisiwani,-4.1333,37.95,71.98,88,65,4.76,TZ,Thu Oct 26 16:35:26 2023
173,tazovsky,67.4667,78.7,9.1,94,85,11.23,RU,Thu Oct 26 16:35:27 2023
174,waddan,29.1614,16.139,75.27,44,0,5.88,LY,Thu Oct 26 16:35:28 2023
175,barra do bugres,-15.0725,-57.1811,93.07,41,98,3.47,BR,Thu Oct 26 16:35:28 2023
176,katsuura,35.1333,140.3,65.25,64,69,6.73,JP,Thu Oct 26 16:35:30 2023
177,la rioja,42.25,-2.5,46.18,70,0,11.21,ES,Thu Oct 26 16:33:43 2023
178,porto novo,6.4965,2.6036,82.22,88,98,6.6,BJ,Thu Oct 26 16:35:32 2023
179,nemuro,43.3236,145.575,52.56,80,63,5.61,JP,Thu Oct 26 16:35:33 2023
180,jamestown,42.097,-79.2353,73.04,49,0,10.36,US,Thu Oct 26 16:32:16 2023
181,tsumeb,-19.2333,17.7167,83.79,19,38,2.39,NA,Thu Oct 26 16:35:35 2023
182,singapur,1.2897,103.8501,80.55,90,75,6.91,SG,Thu Oct 26 16:33:22 2023
183,hauterive,46.0901,3.4459,54.36,89,100,11.34,FR,Thu Oct 26 16:35:37 2023
184,el hajeb,33.6879,-5.371,57.31,75,90,2.33,MA,Thu Oct 26 16:35:38 2023
185,timbuktu,16.7735,-3.0074,90.18,9,62,7.29,ML,Thu Oct 26 16:35:39 2023
186,twon-brass,4.3151,6.2418,79.84,73,100,3.74,NG,Thu Oct 26 16:35:40 2023
187,ibimirim,-8.5406,-37.6903,90.68,19,46,6.67,BR,Thu Oct 26 16:35:41 2023
188,east london,-33.0153,27.9116,68.76,90,86,11.74,ZA,Thu Oct 26 16:35:42 2023
189,hadibu,12.65,54.0333,80.15,82,44,9.33,YE,Thu Oct 26 16:35:43 2023
190,nadi,-17.8,177.4167,80.6,65,20,5.75,FJ,Thu Oct 26 16:30:57 2023
191,lastoursville,-0.8143,12.7287,72.28,98,57,1.1,GA,Thu Oct 26 16:35:44 2023
192,porto empedocle,37.2934,13.5264,68.86,80,98,6.02,IT,Thu Oct 26 16:33:43 2023
193,guercif,34.2257,-3.3536,70.48,56,96,12.44,MA,Thu Oct 26 16:35:07 2023
194,sosnogorsk,63.6023,53.8817,27.54,85,100,8.01,RU,Thu Oct 26 16:35:47 2023
195,ushuaia,-54.8,-68.3,42.42,56,40,25.32,AR,Thu Oct 26 16:35:39 2023
196,aasiaat,68.7098,-52.8699,24.75,91,98,8.41,GL,Thu Oct 26 16:35:49 2023
197,kavaratti,10.5669,72.642,82.99,70,28,4.5,IN,Thu Oct 26 16:35:50 2023
198,reshetylivka,49.565,34.0782,53.94,82,100,8.5,UA,Thu Oct 26 16:35:50 2023
199,egilsstadir,65.2653,-14.3948,40.91,75,40,4.61,IS,Thu Oct 26 16:35:51 2023
200,akureyri,65.6835,-18.0878,26.53,93,0,0.0,IS,Thu Oct 26 16:35:52 2023
201,salinas,36.6777,-121.6555,71.01,51,0,10.36,US,Thu Oct 26 16:31:14 2023
202,kuching,1.55,110.3333,80.02,94,40,2.3,MY,Thu Oct 26 16:35:54 2023
203,nova sintra,14.8667,-24.7167,76.91,78,100,21.27,CV,Thu Oct 26 16:35:55 2023
204,shimoda,34.6667,138.95,63.07,68,54,7.05,JP,Thu Oct 26 16:35:56 2023
205,talnakh,69.4865,88.3972,2.57,94,42,2.51,RU,Thu Oct 26 16:35:57 2023
206,balabac,7.9868,117.0645,81.68,78,67,9.08,PH,Thu Oct 26 16:35:57 2023
207,avarua,-21.2078,-159.775,73.45,60,40,12.66,CK,Thu Oct 26 16:35:58 2023
208,kloulklubed,7.0419,134.2556,83.64,73,83,9.69,PW,Thu Oct 26 16:36:00 2023
209,el nido,11.1858,119.3956,81.63,81,78,5.21,PH,Thu Oct 26 16:36:01 2023
210,nyurba,63.2842,118.3319,18.63,97,100,3.09,RU,Thu Oct 26 16:36:02 2023
211,kudahuvadhoo,2.6708,72.8944,81.1,79,81,11.34,MV,Thu Oct 26 16:36:03 2023
212,laguna,38.421,-121.4238,68.29,53,0,12.66,US,Thu Oct 26 16:31:30 2023
213,sunny isles beach,25.9506,-80.1228,85.01,61,40,19.57,US,Thu Oct 26 16:34:08 2023
214,santa cruz,-17.8,-63.1667,80.06,73,75,11.5,BO,Thu Oct 26 16:36:06 2023
215,villas,26.5504,-81.8687,87.84,51,0,20.71,US,Thu Oct 26 16:36:07 2023
216,bamboo flat,11.7,92.7167,77.09,100,40,1.14,IN,Thu Oct 26 16:36:08 2023
217,toamasina,-18.1667,49.3833,78.8,89,75,5.75,MG,Thu Oct 26 16:36:09 2023
